@relation 'output-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S3-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lmerged-R2,3,4-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_cz_splacona:dobry,merged:zly-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-precision6'

@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {kobieta,mezczyzna}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
200,'\'(67.6-inf)\'',kobieta,13,865,5,128,48,dobry
500,'\'(30.4-42.8]\'',kobieta,11,2400,4,113,48,dobry
300,'\'(42.8-55.2]\'',kobieta,11,992.84,5,121,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,992.96,1,12,48,dobry
300,'\'(-inf-30.4]\'',mezczyzna,11,1000,5,57,48,dobry
300,'\'(42.8-55.2]\'',kobieta,12,1000,0,45,48,dobry
300,'\'(42.8-55.2]\'',kobieta,98,911,5,98,48,dobry
200,'\'(30.4-42.8]\'',kobieta,12,1865,2,20,21,dobry
500,'\'(55.2-67.6]\'',mezczyzna,11,2100,4,187,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,984,0,11,48,dobry
200,'\'(55.2-67.6]\'',kobieta,99,780,1,1,3,dobry
500,'\'(55.2-67.6]\'',kobieta,13,815,0,144,48,dobry
400,'\'(30.4-42.8]\'',mezczyzna,11,1058,0,14,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1244.77,5,39,48,dobry
416.61,'\'(42.8-55.2]\'',mezczyzna,11,2011,0,211,48,dobry
300,'\'(42.8-55.2]\'',kobieta,12,1038.68,1,21,26,dobry
650,'\'(67.6-inf)\'',mezczyzna,13,1519,0,254,48,dobry
200,'\'(42.8-55.2]\'',kobieta,16,749.28,5,65,48,dobry
399.66,'\'(30.4-42.8]\'',kobieta,11,1239.05,2,204,48,dobry
347.63,'\'(55.2-67.6]\'',mezczyzna,13,1500,5,23,48,dobry
479.15,'\'(55.2-67.6]\'',mezczyzna,11,1250,0,65,48,dobry
292.57,'\'(42.8-55.2]\'',mezczyzna,11,2100,2,38,48,dobry
300,'\'(67.6-inf)\'',kobieta,13,1167.94,0,369,48,dobry
275.97,'\'(30.4-42.8]\'',kobieta,11,1000,0,61,48,dobry
500,'\'(30.4-42.8]\'',mezczyzna,12,2100,0,6,32,zly
500,'\'(42.8-55.2]\'',kobieta,17,990,1,72,48,dobry
200,'\'(30.4-42.8]\'',mezczyzna,11,1300,5,45,48,dobry
500,'\'(42.8-55.2]\'',mezczyzna,11,2080,1,318,48,dobry
200,'\'(42.8-55.2]\'',mezczyzna,16,1045,4,199,48,dobry
400,'\'(55.2-67.6]\'',mezczyzna,16,1473.04,2,165,48,dobry
300,'\'(67.6-inf)\'',mezczyzna,13,1426,5,77,48,dobry
200,'\'(55.2-67.6]\'',kobieta,98,980,4,10,48,dobry
299.28,'\'(42.8-55.2]\'',kobieta,11,1400,1,161,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,12,670,5,9,11,dobry
300,'\'(42.8-55.2]\'',mezczyzna,11,1360,1,120,48,dobry
400,'\'(30.4-42.8]\'',mezczyzna,11,1850,0,30,48,zly
200,'\'(-inf-30.4]\'',mezczyzna,12,1100,0,33,48,dobry
200,'\'(30.4-42.8]\'',kobieta,12,980,5,10,15,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1100,2,105,48,dobry
200,'\'(42.8-55.2]\'',kobieta,11,967.64,4,319,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,11,1600,0,342,48,dobry
400,'\'(42.8-55.2]\'',kobieta,12,1000,5,32,34,dobry
400,'\'(55.2-67.6]\'',mezczyzna,12,1000,5,12,14,dobry
582,'\'(55.2-67.6]\'',kobieta,13,3700,5,27,48,dobry
600,'\'(42.8-55.2]\'',kobieta,11,3200,5,54,48,dobry
900,'\'(-inf-30.4]\'',mezczyzna,12,1428,0,2,3,zly
300,'\'(55.2-67.6]\'',kobieta,13,1031,1,122,48,dobry
1000,'\'(67.6-inf)\'',kobieta,13,2291,2,72,48,dobry
700,'\'(55.2-67.6]\'',kobieta,13,2066,5,130,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,1310,1,79,48,dobry
700,'\'(-inf-30.4]\'',mezczyzna,12,1036,0,5,9,zly
200,'\'(55.2-67.6]\'',mezczyzna,13,1287.66,4,97,48,dobry
500,'\'(-inf-30.4]\'',mezczyzna,12,1428,0,2,3,zly
286.39,'\'(55.2-67.6]\'',kobieta,13,1658,5,30,48,dobry
200,'\'(55.2-67.6]\'',kobieta,16,634,4,52,48,dobry
600,'\'(30.4-42.8]\'',kobieta,11,1540,2,40,48,dobry
200,'\'(42.8-55.2]\'',kobieta,11,1400,5,118,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,1233,4,124,48,dobry
200,'\'(55.2-67.6]\'',kobieta,11,983.97,3,79,48,dobry
250,'\'(30.4-42.8]\'',kobieta,99,2290.55,2,19,20,dobry
286.13,'\'(42.8-55.2]\'',kobieta,12,1032,5,39,40,dobry
200,'\'(67.6-inf)\'',kobieta,13,866.46,2,196,48,dobry
200,'\'(30.4-42.8]\'',kobieta,12,599.03,4,20,21,dobry
700,'\'(55.2-67.6]\'',kobieta,13,1977,3,56,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,670,1,67,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,976.76,0,41,48,zly
600,'\'(55.2-67.6]\'',mezczyzna,16,533.37,0,102,48,zly
200,'\'(67.6-inf)\'',kobieta,13,803.86,5,159,48,dobry
300,'\'(67.6-inf)\'',mezczyzna,13,562,1,82,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,1026,5,248,48,dobry
300,'\'(42.8-55.2]\'',kobieta,11,900,5,94,48,dobry
800,'\'(42.8-55.2]\'',kobieta,13,3440,5,52,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,16,2150,0,82,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1500,1,61,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,1083.23,0,98,48,dobry
500,'\'(42.8-55.2]\'',mezczyzna,11,1700,0,310,48,zly
300,'\'(67.6-inf)\'',kobieta,13,1300,2,194,48,dobry
500,'\'(30.4-42.8]\'',mezczyzna,99,1807,0,0,11,zly
500,'\'(55.2-67.6]\'',kobieta,13,962,1,66,48,dobry
300,'\'(42.8-55.2]\'',kobieta,11,2800,0,10,48,dobry
1000,'\'(-inf-30.4]\'',mezczyzna,11,1629,0,50,48,zly
465.37,'\'(30.4-42.8]\'',kobieta,98,4000,5,20,48,dobry
500,'\'(30.4-42.8]\'',mezczyzna,11,1850,0,56,48,dobry
600,'\'(42.8-55.2]\'',kobieta,16,2300,6,64,48,dobry
600,'\'(-inf-30.4]\'',kobieta,11,2100,0,24,48,dobry
1000,'\'(30.4-42.8]\'',kobieta,98,6000,1,18,48,dobry
300,'\'(67.6-inf)\'',mezczyzna,13,1420,1,54,48,dobry
200,'\'(42.8-55.2]\'',kobieta,11,1344.9,4,47,48,dobry
200.56,'\'(55.2-67.6]\'',kobieta,13,1107,0,16,48,dobry
300,'\'(67.6-inf)\'',mezczyzna,13,1772.53,2,281,48,dobry
400,'\'(30.4-42.8]\'',kobieta,11,980.11,2,46,48,dobry
622.85,'\'(55.2-67.6]\'',mezczyzna,13,3040,1,202,48,dobry
300,'\'(67.6-inf)\'',kobieta,16,1235,0,34,48,dobry
300,'\'(55.2-67.6]\'',mezczyzna,15,1100.79,0,91,48,dobry
200,'\'(55.2-67.6]\'',mezczyzna,13,1162,5,222,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,1635,5,121,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,917,3,77,48,dobry
300,'\'(67.6-inf)\'',kobieta,13,1019,0,134,48,dobry
400,'\'(55.2-67.6]\'',kobieta,16,1411,2,67,48,dobry
284.19,'\'(30.4-42.8]\'',kobieta,98,1200,5,47,48,dobry
996,'\'(42.8-55.2]\'',mezczyzna,11,2500,1,205,48,dobry
300,'\'(-inf-30.4]\'',mezczyzna,12,1800,0,5,6,dobry
300,'\'(42.8-55.2]\'',kobieta,16,1500,0,3,48,dobry
800,'\'(67.6-inf)\'',kobieta,13,2120,0,120,48,dobry
300,'\'(42.8-55.2]\'',kobieta,11,1738.57,0,58,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,12,1030,0,10,48,zly
300,'\'(42.8-55.2]\'',kobieta,11,2800,5,61,48,dobry
1000,'\'(55.2-67.6]\'',mezczyzna,13,2474,0,16,48,dobry
530,'\'(30.4-42.8]\'',mezczyzna,11,2050,0,119,48,dobry
300,'\'(67.6-inf)\'',kobieta,13,1000,2,65,48,dobry
200,'\'(42.8-55.2]\'',mezczyzna,11,2284.23,0,301,48,dobry
400,'\'(55.2-67.6]\'',mezczyzna,13,2031,0,159,48,zly
200,'\'(67.6-inf)\'',mezczyzna,13,1700,0,15,48,dobry
400,'\'(42.8-55.2]\'',mezczyzna,98,4293,0,179,48,dobry
200,'\'(42.8-55.2]\'',kobieta,11,3641,0,144,48,dobry
399.72,'\'(55.2-67.6]\'',kobieta,13,714,6,223,48,dobry
250,'\'(67.6-inf)\'',kobieta,13,1000,0,212,48,dobry
460,'\'(55.2-67.6]\'',kobieta,13,1013.74,5,114,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,840,3,114,48,dobry
800,'\'(55.2-67.6]\'',kobieta,13,1530,0,26,48,dobry
495.15,'\'(30.4-42.8]\'',mezczyzna,11,2470,2,67,48,dobry
500,'\'(42.8-55.2]\'',kobieta,11,2500,1,234,48,dobry
200,'\'(30.4-42.8]\'',kobieta,12,1048.27,0,4,19,dobry
200,'\'(55.2-67.6]\'',mezczyzna,16,1313.41,5,29,48,dobry
350,'\'(55.2-67.6]\'',mezczyzna,16,837,4,232,48,dobry
400,'\'(55.2-67.6]\'',kobieta,11,1500,4,86,48,dobry
1000,'\'(30.4-42.8]\'',kobieta,11,2200,1,38,48,dobry
800,'\'(30.4-42.8]\'',mezczyzna,12,1900,0,8,11,zly
400,'\'(42.8-55.2]\'',kobieta,12,1250,0,49,48,zly
300,'\'(42.8-55.2]\'',mezczyzna,11,3300,2,238,48,dobry
300,'\'(67.6-inf)\'',mezczyzna,13,1129.46,0,187,48,zly
315.49,'\'(67.6-inf)\'',mezczyzna,13,960,5,141,48,dobry
423.23,'\'(30.4-42.8]\'',mezczyzna,11,2700,5,16,48,dobry
365.96,'\'(42.8-55.2]\'',mezczyzna,12,1574.45,4,32,35,dobry
350,'\'(55.2-67.6]\'',kobieta,17,547.89,2,57,48,zly
300,'\'(67.6-inf)\'',kobieta,13,1027,1,193,48,dobry
799.85,'\'(30.4-42.8]\'',kobieta,11,2050,1,30,48,zly
400,'\'(55.2-67.6]\'',kobieta,13,1817.24,4,19,48,dobry
407.31,'\'(67.6-inf)\'',kobieta,16,980,5,132,48,dobry
593.94,'\'(42.8-55.2]\'',mezczyzna,11,3200,5,190,48,dobry
300,'\'(30.4-42.8]\'',kobieta,11,2200,0,12,48,dobry
550,'\'(42.8-55.2]\'',kobieta,12,1675,5,10,11,dobry
300,'\'(55.2-67.6]\'',kobieta,16,1389,0,92,48,dobry
900,'\'(55.2-67.6]\'',kobieta,17,684,5,191,48,dobry
200,'\'(42.8-55.2]\'',mezczyzna,11,1460.17,2,62,48,dobry
670,'\'(55.2-67.6]\'',kobieta,13,930,2,95,48,dobry
235.97,'\'(55.2-67.6]\'',mezczyzna,12,1100,5,23,36,dobry
450,'\'(67.6-inf)\'',kobieta,13,729.03,6,258,48,dobry
500,'\'(-inf-30.4]\'',mezczyzna,12,1883,0,30,37,zly
700,'\'(55.2-67.6]\'',kobieta,13,930,6,132,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,975,5,28,48,dobry
399.72,'\'(42.8-55.2]\'',mezczyzna,12,600,6,10,27,dobry
500,'\'(42.8-55.2]\'',mezczyzna,11,1320,5,343,48,dobry
389.72,'\'(55.2-67.6]\'',kobieta,13,1170,4,79,48,dobry
200,'\'(30.4-42.8]\'',kobieta,12,1032.34,5,6,11,dobry
200,'\'(67.6-inf)\'',kobieta,16,959.6,5,116,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,720.19,3,94,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,1212,5,55,48,dobry
200,'\'(42.8-55.2]\'',kobieta,16,1740,2,115,48,dobry
693.7,'\'(30.4-42.8]\'',kobieta,11,1900,1,209,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1474.55,4,66,48,dobry
400,'\'(42.8-55.2]\'',kobieta,13,1213,0,51,48,dobry
339.72,'\'(42.8-55.2]\'',kobieta,16,1045.6,6,13,48,dobry
300,'\'(30.4-42.8]\'',mezczyzna,11,1800,5,166,48,dobry
300,'\'(30.4-42.8]\'',kobieta,12,1027,5,10,48,dobry
400,'\'(55.2-67.6]\'',mezczyzna,11,2000,0,71,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,997,5,80,48,dobry
200,'\'(42.8-55.2]\'',kobieta,12,1350,5,23,24,dobry
265.58,'\'(55.2-67.6]\'',kobieta,13,1189,5,71,48,dobry
563.44,'\'(67.6-inf)\'',mezczyzna,13,2000,0,46,48,dobry
1000,'\'(42.8-55.2]\'',kobieta,11,5800,5,55,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,1362,5,57,48,dobry
800,'\'(30.4-42.8]\'',mezczyzna,12,1500,2,34,35,dobry
500,'\'(42.8-55.2]\'',kobieta,11,2105,0,24,48,zly
300,'\'(55.2-67.6]\'',kobieta,16,1132,2,98,48,dobry
300,'\'(67.6-inf)\'',mezczyzna,13,1295.37,1,308,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,936,3,32,48,dobry
375.81,'\'(-inf-30.4]\'',mezczyzna,11,1888.27,0,78,48,dobry
600,'\'(30.4-42.8]\'',kobieta,11,1290,5,20,48,dobry
426.61,'\'(42.8-55.2]\'',kobieta,11,2470,6,355,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,616,5,247,48,dobry
600,'\'(42.8-55.2]\'',kobieta,11,2800,5,320,48,dobry
600,'\'(-inf-30.4]\'',mezczyzna,11,1900,0,59,48,zly
500,'\'(67.6-inf)\'',kobieta,13,640,2,140,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1137.19,5,97,48,dobry
200,'\'(55.2-67.6]\'',kobieta,11,1172.2,5,38,48,dobry
500,'\'(67.6-inf)\'',kobieta,13,951,5,163,48,dobry
500,'\'(30.4-42.8]\'',mezczyzna,98,3014,0,103,48,dobry
2500,'\'(67.6-inf)\'',mezczyzna,13,2612,0,83,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,13,3900,6,31,48,dobry
450,'\'(67.6-inf)\'',kobieta,13,1800,0,118,48,dobry
250,'\'(42.8-55.2]\'',kobieta,17,864.6,1,3,7,dobry
300,'\'(30.4-42.8]\'',kobieta,12,1200,5,10,14,dobry
441.27,'\'(30.4-42.8]\'',kobieta,12,660,5,13,38,zly
283.31,'\'(42.8-55.2]\'',kobieta,12,1050,4,35,36,dobry
400,'\'(42.8-55.2]\'',mezczyzna,11,1400,0,40,48,dobry
250,'\'(55.2-67.6]\'',mezczyzna,13,1559,0,72,48,dobry
300,'\'(-inf-30.4]\'',mezczyzna,12,952.89,1,24,26,dobry
357.31,'\'(30.4-42.8]\'',mezczyzna,11,1261.98,5,37,48,dobry
500,'\'(67.6-inf)\'',kobieta,13,1200,5,120,48,dobry
412.88,'\'(30.4-42.8]\'',kobieta,11,2927,4,202,48,dobry
242.28,'\'(55.2-67.6]\'',kobieta,13,1350,4,112,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,611,4,140,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,900,0,135,48,zly
200,'\'(67.6-inf)\'',kobieta,13,730,4,562,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,1026,6,248,48,dobry
200,'\'(42.8-55.2]\'',kobieta,13,968,0,82,48,zly
400,'\'(42.8-55.2]\'',mezczyzna,11,4000,6,11,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1130,5,104,48,dobry
400,'\'(55.2-67.6]\'',kobieta,16,1589,1,28,48,dobry
600,'\'(42.8-55.2]\'',kobieta,11,1300,0,69,48,dobry
200,'\'(30.4-42.8]\'',mezczyzna,12,1386,0,39,41,zly
600,'\'(42.8-55.2]\'',kobieta,11,1443,0,35,48,dobry
1654.61,'\'(42.8-55.2]\'',mezczyzna,11,2353,0,100,48,dobry
400,'\'(55.2-67.6]\'',mezczyzna,11,1842.86,4,9,48,dobry
500,'\'(42.8-55.2]\'',kobieta,98,1357,0,2,48,dobry
200,'\'(-inf-30.4]\'',mezczyzna,12,1000,6,13,25,dobry
600,'\'(42.8-55.2]\'',mezczyzna,11,2000,0,52,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1090.14,5,76,48,dobry
500,'\'(30.4-42.8]\'',mezczyzna,12,5000,0,6,27,zly
300,'\'(55.2-67.6]\'',kobieta,11,1680,5,386,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,11,1700,5,40,48,zly
300,'\'(42.8-55.2]\'',mezczyzna,12,1000,3,44,48,dobry
305,'\'(55.2-67.6]\'',kobieta,13,1210,1,139,48,zly
400,'\'(-inf-30.4]\'',mezczyzna,11,1590,0,54,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1240,2,71,48,dobry
800,'\'(55.2-67.6]\'',mezczyzna,12,2500,4,6,10,dobry
400,'\'(42.8-55.2]\'',kobieta,11,1030,0,164,48,zly
500,'\'(67.6-inf)\'',mezczyzna,13,1700,5,15,48,dobry
300,'\'(30.4-42.8]\'',kobieta,11,1286.16,2,118,48,dobry
1500,'\'(55.2-67.6]\'',mezczyzna,98,3000,2,70,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,1000,5,69,48,dobry
378.91,'\'(67.6-inf)\'',kobieta,13,1291.18,6,80,48,dobry
400,'\'(42.8-55.2]\'',kobieta,12,1700,6,56,48,dobry
350,'\'(67.6-inf)\'',kobieta,11,1348.95,0,115,48,dobry
200,'\'(-inf-30.4]\'',mezczyzna,17,985,6,14,17,dobry
200,'\'(42.8-55.2]\'',kobieta,16,685,1,42,48,dobry
600,'\'(30.4-42.8]\'',kobieta,98,5000,1,85,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,1134.96,2,162,48,dobry
300,'\'(67.6-inf)\'',kobieta,13,1239.98,3,256,48,dobry
200,'\'(42.8-55.2]\'',kobieta,11,1400,0,26,48,dobry
500,'\'(42.8-55.2]\'',mezczyzna,13,864.34,0,157,48,dobry
350,'\'(55.2-67.6]\'',mezczyzna,13,1503,0,167,48,zly
400,'\'(30.4-42.8]\'',kobieta,11,1021.1,0,70,48,zly
300,'\'(55.2-67.6]\'',mezczyzna,11,3000,6,213,48,dobry
800,'\'(-inf-30.4]\'',mezczyzna,11,2349,0,22,48,zly
300,'\'(-inf-30.4]\'',kobieta,12,1100,0,15,48,zly
400,'\'(42.8-55.2]\'',mezczyzna,11,1800,2,260,48,dobry
600,'\'(42.8-55.2]\'',mezczyzna,12,3500,0,188,48,dobry
1000,'\'(-inf-30.4]\'',mezczyzna,11,2024.14,0,29,48,zly
200,'\'(55.2-67.6]\'',kobieta,13,910,6,71,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,722.05,5,198,48,dobry
400,'\'(67.6-inf)\'',mezczyzna,13,1870,1,86,48,dobry
1000,'\'(42.8-55.2]\'',mezczyzna,11,2107.76,0,121,48,zly
500,'\'(42.8-55.2]\'',kobieta,11,2245.01,0,147,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,2282,2,26,48,dobry
500,'\'(55.2-67.6]\'',mezczyzna,16,1770,6,90,48,dobry
367.31,'\'(55.2-67.6]\'',kobieta,13,1684,5,21,48,dobry
700,'\'(42.8-55.2]\'',kobieta,12,830.46,4,46,48,dobry
1000,'\'(30.4-42.8]\'',mezczyzna,11,2300,0,51,48,zly
200,'\'(42.8-55.2]\'',mezczyzna,11,2094.17,2,242,48,dobry
600,'\'(55.2-67.6]\'',kobieta,13,1050,6,140,48,dobry
1000,'\'(55.2-67.6]\'',kobieta,13,1820,1,70,48,dobry
400,'\'(42.8-55.2]\'',kobieta,11,980,1,201,48,dobry
200,'\'(55.2-67.6]\'',mezczyzna,13,12220,4,72,48,dobry
345.97,'\'(42.8-55.2]\'',kobieta,11,1721.7,6,121,48,dobry
250,'\'(42.8-55.2]\'',kobieta,11,1700,5,307,48,dobry
200,'\'(55.2-67.6]\'',kobieta,16,1600,2,25,48,zly
200,'\'(67.6-inf)\'',kobieta,13,785,2,65,48,dobry
400,'\'(-inf-30.4]\'',kobieta,12,1030,0,29,35,zly
500,'\'(55.2-67.6]\'',kobieta,13,820,0,32,48,dobry
300,'\'(67.6-inf)\'',kobieta,13,1442.43,1,142,48,dobry
200,'\'(55.2-67.6]\'',mezczyzna,13,1611,0,142,48,dobry
290,'\'(55.2-67.6]\'',kobieta,13,1280,6,18,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,11,2100,1,51,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,850,5,68,48,dobry
400,'\'(55.2-67.6]\'',mezczyzna,13,3900,1,115,48,dobry
200,'\'(-inf-30.4]\'',kobieta,17,1200,6,166,48,dobry
490,'\'(-inf-30.4]\'',mezczyzna,11,2700,1,65,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,2125.11,0,142,48,zly
700,'\'(55.2-67.6]\'',mezczyzna,13,3600,0,87,48,dobry
200,'\'(-inf-30.4]\'',kobieta,12,1100,2,16,17,dobry
200,'\'(-inf-30.4]\'',mezczyzna,12,1400,0,2,3,dobry
500,'\'(42.8-55.2]\'',mezczyzna,13,1500,0,87,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,1883.53,0,48,48,dobry
500,'\'(42.8-55.2]\'',mezczyzna,12,1952.35,1,5,11,dobry
200,'\'(-inf-30.4]\'',mezczyzna,99,1393.85,4,6,6,zly
314.83,'\'(30.4-42.8]\'',kobieta,11,2709.34,6,182,48,dobry
600,'\'(30.4-42.8]\'',kobieta,11,1800,1,53,48,dobry
500,'\'(30.4-42.8]\'',mezczyzna,11,3898,1,182,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,965,5,246,48,dobry
438.67,'\'(42.8-55.2]\'',kobieta,11,1577.42,0,206,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1800,0,70,48,dobry
500,'\'(42.8-55.2]\'',kobieta,11,3000,0,94,48,dobry
200,'\'(42.8-55.2]\'',kobieta,12,990.34,0,57,48,dobry
200,'\'(42.8-55.2]\'',kobieta,11,932.34,6,396,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,11,1566.82,0,350,48,dobry
200,'\'(42.8-55.2]\'',kobieta,11,1493.98,5,362,48,dobry
200,'\'(-inf-30.4]\'',mezczyzna,12,1521,2,21,30,dobry
500,'\'(-inf-30.4]\'',mezczyzna,11,2200,0,115,48,zly
300,'\'(-inf-30.4]\'',kobieta,17,596.17,0,2,23,zly
200,'\'(55.2-67.6]\'',mezczyzna,13,1672.59,0,23,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,11,1300,0,453,48,dobry
500,'\'(30.4-42.8]\'',mezczyzna,98,1256,0,70,48,dobry
400,'\'(55.2-67.6]\'',kobieta,11,1730.13,4,194,48,dobry
500,'\'(55.2-67.6]\'',mezczyzna,13,1900,6,151,48,dobry
700,'\'(30.4-42.8]\'',kobieta,11,3178.76,1,122,48,dobry
700,'\'(30.4-42.8]\'',kobieta,11,3100,1,122,48,dobry
600,'\'(42.8-55.2]\'',kobieta,11,1700,5,90,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1014,0,184,48,dobry
780,'\'(55.2-67.6]\'',kobieta,13,860,0,81,48,dobry
389.72,'\'(42.8-55.2]\'',kobieta,98,3000,2,86,48,dobry
500,'\'(-inf-30.4]\'',kobieta,12,1447,6,23,24,dobry
200,'\'(-inf-30.4]\'',mezczyzna,17,728,6,101,48,dobry
515.96,'\'(55.2-67.6]\'',kobieta,13,1801.41,1,39,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,810,6,34,48,dobry
600,'\'(42.8-55.2]\'',mezczyzna,11,2500,0,375,48,dobry
800,'\'(55.2-67.6]\'',kobieta,13,5100,1,29,48,dobry
500,'\'(42.8-55.2]\'',kobieta,11,1800,6,54,48,dobry
400,'\'(30.4-42.8]\'',kobieta,11,800.51,0,21,48,zly
400,'\'(67.6-inf)\'',kobieta,13,1900,2,122,48,dobry
428.68,'\'(42.8-55.2]\'',mezczyzna,16,588,2,423,48,dobry
349.66,'\'(55.2-67.6]\'',mezczyzna,13,1601.87,2,46,48,dobry
400,'\'(67.6-inf)\'',mezczyzna,13,1162.41,0,105,48,dobry
400,'\'(42.8-55.2]\'',mezczyzna,12,1963.88,5,7,8,dobry
200,'\'(55.2-67.6]\'',mezczyzna,13,819,0,58,48,dobry
1000,'\'(30.4-42.8]\'',kobieta,11,1900,0,180,48,dobry
316.68,'\'(42.8-55.2]\'',mezczyzna,98,3178,0,202,48,dobry
200,'\'(55.2-67.6]\'',kobieta,99,780,2,2,3,dobry
200,'\'(42.8-55.2]\'',kobieta,99,1100,3,53,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,634.64,0,252,48,dobry
600,'\'(30.4-42.8]\'',mezczyzna,12,1573,0,6,28,zly
700,'\'(55.2-67.6]\'',kobieta,13,1400,1,247,48,dobry
300,'\'(-inf-30.4]\'',mezczyzna,12,1400,0,13,32,zly
300,'\'(55.2-67.6]\'',kobieta,13,1087,0,72,48,dobry
700,'\'(30.4-42.8]\'',mezczyzna,11,2585,0,102,48,zly
400,'\'(55.2-67.6]\'',kobieta,13,1507,0,60,48,dobry
400,'\'(30.4-42.8]\'',mezczyzna,12,1300,0,7,13,zly
200,'\'(55.2-67.6]\'',kobieta,13,992.96,2,13,48,dobry
300,'\'(42.8-55.2]\'',kobieta,11,1077.49,0,373,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,984,1,12,48,dobry
200,'\'(-inf-30.4]\'',kobieta,16,540.62,0,8,48,zly
700,'\'(42.8-55.2]\'',mezczyzna,16,660,0,132,48,zly
300,'\'(42.8-55.2]\'',kobieta,11,992.84,6,122,48,dobry
400,'\'(30.4-42.8]\'',mezczyzna,11,1058,1,15,48,dobry
393.48,'\'(55.2-67.6]\'',kobieta,13,1668,6,92,48,dobry
300,'\'(-inf-30.4]\'',mezczyzna,11,1000,6,58,48,dobry
500,'\'(55.2-67.6]\'',mezczyzna,11,2100,5,188,48,dobry
300,'\'(-inf-30.4]\'',mezczyzna,11,1459,3,10,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,865,6,129,48,dobry
200,'\'(42.8-55.2]\'',kobieta,12,1000,1,46,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,11,1400,0,15,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,1026,5,56,48,dobry
700,'\'(55.2-67.6]\'',kobieta,13,1872,6,36,48,dobry
