@relation 'output-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S3-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lmerged-R2,3,4-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_cz_splacona:dobry,merged:zly-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-precision6'

@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {kobieta,mezczyzna}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
500,'\'(30.4-42.8]\'',kobieta,11,2700,4,120,48,dobry
500,'\'(30.4-42.8]\'',kobieta,11,3100,4,120,48,dobry
500,'\'(42.8-55.2]\'',kobieta,11,1800,4,52,48,dobry
200,'\'(42.8-55.2]\'',kobieta,11,1493.98,3,360,48,dobry
200,'\'(42.8-55.2]\'',kobieta,11,932.34,4,394,48,dobry
600,'\'(42.8-55.2]\'',kobieta,11,1443,4,33,48,dobry
500,'\'(42.8-55.2]\'',mezczyzna,11,6125.99,0,381,48,zly
300,'\'(-inf-30.4]\'',kobieta,12,1300,3,7,12,dobry
300,'\'(-inf-30.4]\'',kobieta,12,1500,3,3,4,dobry
492.01,'\'(30.4-42.8]\'',kobieta,98,4000,4,18,48,dobry
400,'\'(42.8-55.2]\'',kobieta,16,1362,4,28,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1244.77,4,38,48,dobry
700,'\'(55.2-67.6]\'',kobieta,13,1872,4,34,48,dobry
200,'\'(55.2-67.6]\'',kobieta,16,1340,0,160,48,dobry
300,'\'(55.2-67.6]\'',mezczyzna,13,1573,0,88,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,1030.71,0,260,48,zly
500,'\'(42.8-55.2]\'',mezczyzna,11,1052.34,0,53,48,zly
800,'\'(-inf-30.4]\'',mezczyzna,98,1000,0,3,48,zly
200,'\'(42.8-55.2]\'',kobieta,98,2200,4,24,48,dobry
300,'\'(-inf-30.4]\'',mezczyzna,12,1637,0,51,48,dobry
395.77,'\'(55.2-67.6]\'',kobieta,13,1668,4,90,48,dobry
201.4,'\'(55.2-67.6]\'',kobieta,13,1107,2,14,48,dobry
200,'\'(30.4-42.8]\'',kobieta,12,1048.27,0,2,19,dobry
300,'\'(55.2-67.6]\'',kobieta,13,2282,0,24,48,dobry
417,'\'(-inf-30.4]\'',kobieta,11,1500,0,23,48,zly
300,'\'(55.2-67.6]\'',kobieta,16,634.64,3,135,48,dobry
500,'\'(-inf-30.4]\'',mezczyzna,11,2327.94,0,34,48,dobry
575.74,'\'(30.4-42.8]\'',mezczyzna,11,2050,4,117,48,dobry
300,'\'(42.8-55.2]\'',kobieta,98,911,4,97,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,992.96,0,11,48,dobry
300,'\'(42.8-55.2]\'',kobieta,12,700,0,20,23,zly
300,'\'(-inf-30.4]\'',mezczyzna,11,1000,4,56,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,865,4,127,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,11,2100,1,37,48,dobry
300,'\'(42.8-55.2]\'',kobieta,11,992.84,4,120,48,dobry
200,'\'(55.2-67.6]\'',kobieta,99,780,0,0,3,dobry
500,'\'(55.2-67.6]\'',mezczyzna,11,2100,3,186,48,dobry
600,'\'(55.2-67.6]\'',kobieta,13,1370,3,75,48,dobry
371.45,'\'(55.2-67.6]\'',mezczyzna,13,1500,4,22,48,dobry
200,'\'(30.4-42.8]\'',kobieta,12,980,4,9,10,dobry
600,'\'(42.8-55.2]\'',kobieta,11,1300,1,67,48,dobry
500,'\'(30.4-42.8]\'',kobieta,11,1700,3,196,48,dobry
1283.66,'\'(42.8-55.2]\'',kobieta,11,1638,0,313,48,dobry
400,'\'(55.2-67.6]\'',mezczyzna,11,1000,0,101,48,zly
500,'\'(55.2-67.6]\'',kobieta,13,1310,0,77,48,dobry
200,'\'(42.8-55.2]\'',mezczyzna,16,1045,3,198,48,dobry
600,'\'(30.4-42.8]\'',kobieta,12,1540,1,38,39,dobry
