@relation output

@attribute 'status pozyczki' {splacona_cz,odmowa,splacona,windykacja,windykacja_sp}
@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {kobieta,mężczyzna}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
splacona_cz,300,57,kobieta,13,611,2,138,48,1
splacona_cz,500,53,mężczyzna,11,1320,3,341,48,0
splacona_cz,426.61,49,kobieta,11,2470,4,353,48,0
splacona_cz,200,57,mężczyzna,13,12220,2,70,48,4
splacona_cz,400,53,mężczyzna,11,4000,4,9,48,0
odmowa,200,69,kobieta,13,686.16,0,76,48,0
splacona_cz,300,64,kobieta,16,1132,0,96,48,1
splacona_cz,200,20,mężczyzna,17,985,4,12,13,0
splacona,717.02,64,mężczyzna,13,2010,2,137,48,0
splacona_cz,600,49,kobieta,11,2800,3,318,48,1
splacona_cz,500,70,kobieta,13,729.03,4,256,48,0
windykacja,1130.33,48,kobieta,12,1500,0,13,26,4568
windykacja,250,40,mężczyzna,12,700,3,8,23,4568
splacona_cz,200,29,mężczyzna,99,1393.85,2,4,4,6
splacona_cz,789.27,63,kobieta,13,860,0,79,48,1
odmowa,600,20,mężczyzna,11,1085.97,0,2,48,0
splacona_cz,300,46,mężczyzna,13,1688.82,2,98,48,7
splacona,200,52,kobieta,11,1617.68,2,84,48,215
splacona_cz,1000,73,kobieta,13,2100,3,54,48,3
splacona,300,35,mężczyzna,11,1058,0,13,48,0
splacona_cz,500,72,mężczyzna,13,1700,3,13,48,3
splacona_cz,454,38,kobieta,11,2927,2,200,48,0
splacona,500,35,mężczyzna,11,2200,0,84,48,12
splacona_cz,300,26,mężczyzna,11,1459,1,8,48,6
splacona_cz,500,60,kobieta,13,936,1,30,48,0
splacona,2500,72,mężczyzna,13,2612,2,81,48,30
splacona_cz,400,61,kobieta,13,1090.14,3,74,48,2
splacona,200,67,mężczyzna,16,1600,2,11,48,0
splacona_cz,200,74,kobieta,13,1026,4,246,48,0
splacona,416.61,52,mężczyzna,11,2011,0,210,48,13
splacona_cz,600,55,mężczyzna,16,588,0,421,48,2
splacona_cz,300,58,kobieta,13,1240,0,69,48,2
splacona_cz,400,61,kobieta,13,1170,2,77,48,0
splacona_cz,300,48,kobieta,11,1077.49,3,371,48,2
splacona_cz,200,26,kobieta,12,1100,0,14,17,4
splacona,200,52,kobieta,16,685,0,40,48,0
splacona_cz,300,49,mężczyzna,13,3900,4,29,48,0
splacona_cz,300,65,kobieta,13,1350,2,110,48,0
splacona_cz,387.31,44,mężczyzna,12,1952.35,3,3,11,0
splacona,200,53,mężczyzna,11,1300,0,451,48,0
splacona_cz,1000,42,mężczyzna,11,2258,4,74,48,3
splacona_cz,400,56,mężczyzna,11,1842.86,2,7,48,0
splacona,250,58,kobieta,16,1589,0,26,48,0
splacona,275.97,41,kobieta,11,1000,3,60,48,14
splacona_cz,200,24,mężczyzna,12,1000,4,11,25,0
splacona_cz,600,65,mężczyzna,13,1217,0,50,48,0
splacona,200,51,mężczyzna,12,1030,0,8,48,3
splacona_cz,200,68,kobieta,13,1134.96,0,160,48,0
odmowa,300,64,kobieta,13,697,0,124,48,0
splacona_cz,200,63,kobieta,16,1389,3,90,48,0
splacona_cz,300,45,mężczyzna,12,1375.47,1,6,8,0
splacona_cz,500,63,kobieta,13,2051,0,137,48,0
splacona_cz,378.91,70,kobieta,13,1291.18,4,78,48,0
splacona_cz,500,62,kobieta,13,1691.3,0,72,48,3
windykacja,350,53,kobieta,17,1031,2,50,48,4564
splacona,586.65,57,kobieta,11,1680,4,69,48,2
splacona_cz,200,73,mężczyzna,13,910.33,3,162,48,7
splacona,1569.98,48,mężczyzna,11,2353,3,98,48,29
splacona_cz,800,57,mężczyzna,12,2500,2,4,5,0
splacona_cz,200,55,kobieta,11,1077,0,182,48,0
splacona_cz,238.78,53,kobieta,11,1700,4,204,48,0
splacona_cz,200,30,kobieta,11,1373.34,1,57,48,1
windykacja,662.69,30,mężczyzna,11,2837,0,125,48,4564
splacona_cz,400,54,kobieta,12,1700,4,54,48,0
odmowa,200,60,kobieta,13,578.75,0,8,48,0
splacona_cz,300,77,kobieta,13,1300,0,192,48,0
splacona,300,57,mężczyzna,11,1800,0,160,48,0
splacona_cz,400,66,kobieta,13,850,3,66,48,2
splacona_cz,200,25,kobieta,17,1200,4,164,48,0
splacona_cz,350,64,mężczyzna,13,1601.87,0,44,48,6
splacona_cz,500,51,kobieta,11,1700,3,305,48,0
splacona,300,43,kobieta,11,1400,4,24,48,2
splacona_cz,200,66,kobieta,13,910,4,69,48,0
splacona_cz,200,53,mężczyzna,11,2094.17,0,240,48,0
splacona_cz,300,50,mężczyzna,12,1000,1,42,48,1
splacona,200,62,kobieta,13,1200.29,1,21,48,0
splacona_cz,400,61,kobieta,13,1280,4,16,48,2
splacona_cz,300,42,kobieta,11,1286.16,0,116,48,0
splacona_cz,200,66,kobieta,13,1216,4,140,48,0
splacona_cz,500,56,mężczyzna,13,1900,4,149,48,5
splacona,200,42,mężczyzna,11,2200,0,42,48,0
splacona_cz,500,58,mężczyzna,16,1770,4,88,48,0
odmowa,500,63,kobieta,13,1501,0,140,48,0
splacona_cz,200,71,kobieta,13,722.05,3,196,48,0
splacona,200,70,kobieta,16,1235,0,32,48,0
splacona_cz,385.97,54,kobieta,11,1721.7,4,119,48,0
splacona,903.23,36,kobieta,11,1900,3,178,48,9
splacona_cz,400,51,mężczyzna,11,1800,0,258,48,0
splacona_cz,400,44,mężczyzna,12,1963.88,3,5,5,0
splacona,400,36,mężczyzna,11,3898,0,180,48,0
splacona,300,72,mężczyzna,13,1870,0,84,48,0
splacona_cz,300,78,kobieta,13,1239.98,1,254,48,0
splacona_cz,200,53,kobieta,12,984.34,3,17,20,4
splacona_cz,500,29,kobieta,12,1447,4,21,24,1
odmowa,700,24,mężczyzna,16,1278,0,77,48,0
splacona_cz,300,60,kobieta,13,810,4,32,48,3
splacona_cz,400,56,kobieta,11,1730.13,2,192,48,3
splacona_cz,322.07,35,kobieta,11,2709.34,4,180,48,0
splacona_cz,400,35,kobieta,11,2899.34,0,120,48,0
splacona,227.08,60,kobieta,11,1906.42,2,211,48,7
windykacja_sp,561.15,69,kobieta,13,1072,4,152,48,292
windykacja_sp,500,59,kobieta,13,1400,0,53,48,385
splacona_cz,600,61,kobieta,13,1050,4,138,48,0
splacona,600,30,mężczyzna,11,2700,4,63,48,0
splacona_cz,200,27,mężczyzna,17,728,4,99,48,3
splacona_cz,300,22,kobieta,12,1634,2,11,12,3
windykacja,500,22,mężczyzna,17,1896,0,33,33,4559
windykacja,300,23,mężczyzna,12,1029,0,3,11,4559
splacona_cz,1500,57,mężczyzna,98,3000,1,68,48,25
splacona_cz,1070,80,kobieta,13,2421.55,0,244,48,0
odmowa,250,23,mężczyzna,98,3000,0,13,48,0
splacona_cz,200,46,mężczyzna,11,1566.82,0,348,48,0
splacona,800,61,kobieta,13,1820,4,68,48,0
splacona_cz,200,70,kobieta,13,907,2,233,48,2
splacona,200,26,mężczyzna,12,1100,1,32,48,9
splacona_cz,400,39,kobieta,11,1239.05,1,203,48,6
splacona_cz,200,31,kobieta,12,1865,1,19,21,5
splacona_cz,400,52,kobieta,98,3000,0,84,48,2
splacona_cz,500,35,kobieta,11,2400,3,112,48,4
windykacja_sp,300,28,kobieta,11,901,3,39,48,387
splacona_cz,300,66,mężczyzna,13,2110,4,100,48,1
windykacja,400,64,kobieta,13,1015,4,108,48,4557
splacona_cz,400,54,kobieta,11,2368.57,2,409,48,0
splacona_cz,300,40,kobieta,11,2505,0,163,48,0
splacona_cz,200,56,kobieta,17,1100,2,26,33,0
splacona,255.49,55,kobieta,16,1072.89,4,121,48,0
splacona_cz,200,53,kobieta,99,1100,1,51,48,1
splacona,600,59,kobieta,13,1400,0,245,48,1
splacona_cz,200,52,kobieta,99,598,0,2,6,0
splacona,200,75,kobieta,13,1000,0,210,48,0
splacona_cz,200,72,kobieta,13,785,0,63,48,0
